Dataset,Solver,Time,Size,Certificate
gka_25,akiba_iwata,122.9,42,"[2, 5, 6, 9, 11, 12, 13, 15, 17, 19, 27, 28, 31, 33, 34, 36, 37, 38, 39, 41, 45, 47, 48, 52, 53, 56, 60, 67, 68, 74, 75, 79, 81, 83, 84, 85, 86, 87, 88, 94, 96, 99]"
gka_25,ilp,28.6,42,"['36', '17', '15', '48', '83', '96', '28', '13', '79', '37', '33', '11', '45', '81', '53', '12', '68', '27', '94', '19', '34', '9', '1', '52', '60', '6', '38', '88', '67', '86', '3', '84', '31', '74', '87', '5', '2', '99', '47', '85', '41', '39']"
gka_26,akiba_iwata,160.5,43,"[1, 6, 7, 10, 12, 13, 14, 20, 21, 22, 23, 25, 26, 28, 34, 35, 38, 40, 42, 43, 45, 46, 48, 50, 54, 55, 59, 60, 63, 64, 68, 69, 70, 71, 73, 74, 78, 79, 81, 82, 93, 95, 97]"
gka_26,ilp,18.4,43,"['46', '36', '7', '48', '95', '82', '42', '28', '13', '93', '43', '79', '37', '11', '71', '20', '45', '12', '68', '21', '26', '76', '1', '65', '51', '14', '60', '38', '78', '3', '23', '63', '54', '70', '74', '40', '87', '2', '58', '99', '59', '41', '97']"
gka_27,akiba_iwata,535.3,62,"[0, 2, 6, 9, 10, 11, 14, 15, 16, 17, 19, 21, 22, 25, 26, 28, 29, 30, 33, 34, 35, 36, 37, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 61, 63, 66, 68, 70, 72, 74, 75, 76, 78, 81, 82, 83, 85, 88, 89, 90, 92, 93, 94, 99]"
gka_27,ilp,192.6,62,"['46', '36', '17', '15', '48', '83', '49', '73', '44', '82', '64', '42', '28', '37', '33', '11', '20', '45', '81', '53', '68', '57', '21', '10', '26', '19', '34', '56', '55', '72', '9', '66', '52', '65', '98', '30', '51', '14', '6', '92', '35', '91', '89', '61', '78', '63', '54', '50', '84', '31', '29', '16', '70', '74', '32', '87', '2', '58', '59', '47', '41', '0']"
gka_28,akiba_iwata,284.9,70,"[0, 2, 4, 5, 6, 8, 9, 12, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 33, 34, 35, 36, 38, 42, 43, 45, 47, 48, 50, 51, 53, 54, 55, 56, 57, 58, 60, 62, 63, 65, 66, 67, 68, 70, 71, 73, 74, 75, 76, 77, 79, 80, 82, 83, 85, 86, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]"
gka_28,ilp,366.0,70,"['36', '17', '15', '77', '83', '73', '95', '96', '82', '42', '28', '93', '43', '79', '90', '62', '33', '11', '24', '71', '45', '53', '12', '68', '4', '57', '21', '27', '94', '10', '26', '19', '76', '34', '56', '55', '9', '66', '75', '65', '98', '51', '80', '60', '6', '25', '92', '38', '35', '91', '89', '86', '18', '8', '23', '63', '54', '50', '84', '16', '70', '40', '5', '2', '58', '99', '59', '47', '85', '97']"
gka_29,akiba_iwata,64.3,77,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 32, 33, 35, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 53, 54, 55, 58, 59, 61, 62, 63, 64, 65, 66, 67, 70, 71, 72, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 88, 90, 91, 92, 93, 96, 97, 99]"
gka_29,ilp,42.5,77,"['46', '17', '15', '7', '77', '48', '83', '49', '22', '96', '44', '82', '64', '42', '28', '13', '93', '43', '79', '90', '62', '33', '24', '71', '45', '81', '53', '12', '4', '21', '27', '10', '26', '19', '76', '55', '72', '1', '66', '75', '65', '51', '14', '80', '6', '25', '92', '38', '35', '91', '88', '61', '67', '78', '86', '8', '3', '23', '63', '54', '50', '84', '29', '16', '70', '74', '32', '40', '5', '2', '58', '99', '59', '85', '41', '97', '39']"
gka_30,akiba_iwata,32.7,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 46, 50, 51, 53, 54, 56, 57, 58, 62, 63, 64, 66, 67, 68, 70, 71, 72, 73, 74, 76, 77, 78, 79, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]"
gka_30,ilp,53.2,82,"['46', '36', '17', '15', '7', '77', '83', '49', '22', '73', '95', '96', '44', '82', '64', '42', '13', '93', '79', '90', '62', '37', '33', '11', '24', '71', '20', '81', '53', '12', '68', '4', '57', '21', '94', '10', '26', '76', '34', '56', '55', '1', '66', '75', '65', '98', '30', '51', '14', '80', '60', '25', '92', '35', '91', '89', '61', '69', '67', '78', '86', '18', '8', '3', '63', '54', '84', '29', '16', '70', '32', '40', '87', '5', '2', '99', '59', '47', '85', '41', '97', '0']"
gka_31,akiba_iwata,11.7,85,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 55, 57, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 87, 89, 90, 92, 93, 94, 95, 96, 97, 99]"
gka_31,ilp,17.4,85,"['46', '36', '15', '7', '77', '48', '83', '49', '22', '73', '95', '44', '82', '64', '28', '13', '93', '43', '79', '90', '62', '33', '11', '24', '71', '20', '45', '81', '12', '68', '57', '21', '27', '94', '10', '26', '19', '76', '34', '55', '9', '1', '66', '52', '75', '65', '30', '51', '80', '60', '6', '25', '92', '38', '35', '91', '89', '61', '69', '67', '78', '18', '8', '3', '23', '63', '50', '84', '31', '29', '16', '70', '74', '40', '87', '5', '2', '58', '99', '59', '47', '85', '41', '0', '39']"
gka_32,akiba_iwata,5.3,88,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 55, 56, 58, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]"
